ID,c__ButtonCta,EAN,c__Ingredients,c__PdpLinkUrl,c__ProductType,UPC,c__aerinExclusive,c__age,c__alternateButtonLabel,c__basecode,c__batteryLife,c__batteryType,c__bootType,c__bottomType,brand,c__collection,c__color,c__colorName,c__condition,c__consoleWarranty,c__crossSells,c__customCSSFile,c__customLabel,c__digitalCameraFeatures,c__digitalCameraPixels,c__digitalCameraType,c__digitalCameraWarranty,c__dimDepth,c__dimHeight,c__dimWeight,c__dimWidth,c__displaySize,c__enableWhiteGloveDelivery,c__expectedShipDate,c__facebookEnabled__default,facebookEnabled__default,c__filterCategory,c__finish,c__finishCode,c__galleryID,c__gameGenre,c__gameRating,c__gameSystemType,c__gender,c__googleFeedProductType,c__googleProductCategory,c__gpsFeatures,c__gpsType,c__gpsWarranty,c__imageAspectRatio,c__instaFavLink,c__inventoryThreshold,c__isCADDwg,c__isCaliforniaProposition,c__isDropship,c__isGiftSet,c__isInstallPdf,c__isLetterSizeVariation,c__isNew,c__isNewtest,c__isOptionVariation,c__isPromoModule,c__isSale,c__isScentVariation,c__isSpecPdf,c__isStyleVariation,c__kidsAge,c__length,c__lensAperture,localizedTaxClassID__default,longDescription__default,manufacturerName,manufacturerSKU,c__material,c__materialTest,c__mediaFormat,c__memorySize,c__memoryType,minOrderQuantity,c__msrp,c__musicStorage,name__default,c__netSuiteItemHazardousValue,c__netSuiteVendorItemNumber,c__newArrivalFilterCategory,c__notKeywordSearch,c__notes,onlineFlag__default,onlineFrom__default,onlineTo__default,c__onlyShipping,c__opticalZoom,c__outerwearType,pageDescription__default,pageKeywords__default,pageTitle__default,pageURL__default,pinterestEnabled__default,c__portableAudioType,c__productAccess,c__productBadge,c__productMaterial,c__productPriceRange,c__productSetHeading,c__productShape,c__productSizeChartId,c__productTileImage,c__productTileMobImage,c__productTileTabImage,c__productType,c__quickViewDescription,c__redirectToCategoryId,c__refinementColor,c__refinementFinish,c__refinementShade,c__resolution,c__retailContactInfo,c__saleFilterCategory,c__sandalType,c__scent,searchPlacement__default,searchRank__default,searchable__default,searchableIfUnavailable__default,c__secondaryHoverImage,c__shade,c__shadeCode,c__sheets,c__shippingAndReturnDetails,c__shoeType,shortDescription__default,siteMapChangeFrequency__default,siteMapIncluded__default,siteMapPriority__default,c__size,c__sizeName,c__skinConcern,c__sortColors,c__stateRestrictions,stepQuantity,storeForcePriceEnabled,storeNonDiscountableEnabled,storeNonInventoryEnabled,storeNonRevenueEnabled,storeReceiptName__default,storeTaxClass,c__styleNumber,c__tabDescription,c__tabDetails,taxClassID,template,c__test,c__topNavDisplayName,c__topType,c__tvSignalFormat,c__tvSize,c__tvType,c__tvWarranty,unit,unitMeasure,unitQuantity,c__variation,c__videoStorage,c__waist,c__width
18122286,,,,,,756808038782,,,,ARN5503,,,,,,Graphic,,,New,,,,,,,,,,,,"69.5""",,,In 1 Week,,false,Ceiling Light,Antique Brass,F6,,,,,,Lighting  >  Ceiling Lights  >  Chandelier,2249,,,,,,,true,,true,,false,,,,,,,,true,,,,,,"<ul>
<li>Overall Height: 69.75""</li>
<li>Fixture Height: 28.25""</li>
<li>Min. Custom Height: 50.5""</li>
<li>Width: 73""</li>
<li>Canopy: 7.75"" round</li>
<li>Socket: 16 - E12 Keyless</li>
<li>Wattage: 16 - 40 B</li>
<li>Note: UL only</li>
</ul>",,ARN 5503HAB-BLK,,,,,,1,5279.0,,Graphic Grande Four-Tier Chandelier,false,ARN 5503HAB-BLK,,,,true,,,,,,,,,,false,,isPublic,,,,,,,,,,Chandelier,,,,Antique Brass,Black,,,,,,,,true,,,Black,S8,,,,"Add a bold focal point to a room with this retro chandelier. The four tiers of multiple shades, each with a sleek, curved finish, focus light upwards to avoid glare.",,,,,,,,,1,false,false,false,false,,,,,,P0000000,,,,,,,,,,,,,,,
17222098,,,,,,756808033664,,,,ARN1013,,,,,,,,,New,,,,,,,,,,"55.25""",,"16""",,,In 5-6 Weeks,,false,Floor Lamp,Antique Brass,F6,,,,,,Lighting  >  Floor Lamps,4636,,,,,,,true,,true,,true,,,,,,,,true,,,,,,"<ul>
<li>Height: 55.25""</li>
<li>Width: 16""</li>
<li>Extension: 21.75""</li>
<li>Base: 16"" Triangle</li>
<li>Socket: E26 Foot Switch</li>
<li>Wattage: 60 A</li>
<li>Note: UL only</li>
</ul>",,ARN 1013HAB-WHT,,,,,,1,1379.0,,Mayotte Large Offset Floor Lamp,false,ARN 1013HAB-WHT,,,,true,,,,,,,,,,false,,isPublic,,,,,,,,,,Floor Lamp,,,,Antique Brass,White,,,,,,,,true,,,White,S10,,,,"This triple-legged floor lamp is an ideal light to sit behind a reading chair for precision illumination. Its stylish, curved shade and stand give it a Mid-Century Modern look.",,,,,,,,,1,false,false,false,false,,,,,,P0000000,,,,,,,,,,,0,,,,
16222080,,,,,,756808935685,,,,ARN1301,,,,,,Beaumont,,,New,,,,,,,,,,"62.75""",,"20""",,,In 1 Week,,false,Floor Lamp,Aged Iron,F14,,,,,,Lighting  >  Floor Lamps,4636,,,,,,,true,,true,,true,,,,,,,,true,,,,,,"<ul>
<li>Height: 62.75""</li>
<li>Width: 20""</li>
<li>Base: 10.25"" Round</li>
<li>Socket: 2 - E26 Keyless w/ Dimmer</li>
<li>Wattage: 2 - 60 A</li>
</ul>",,ARN 1301AI-L,,,,,,1,1159.0,,Beaumont Floor Lamp,false,ARN 1301AI-L,,,,true,,,,,,,,,,false,,isPublic,,,,,,,,,,Floor Lamp,,,,Aged Iron,Linen,,,,,,,,true,,,Linen,S2,,,,"This versatile floor lamp is a stylish addition to any room. With clean lines and a linen shade, a subtle three-tired design at the top of the stand adds a contemporary touch.",,,,,,,,,1,false,false,false,false,,,,,,P0000000,,,,,,,,,,,,,,,
18222115,,,,,,756808042697,,,,ARN2009,,,,,,Clarkson,,,New,,,,,,,,,,"17.75""",,"4.5""",,,In 1 Week,,false,Wall Light,Antique Brass,F6,,,,,,Lighting  >  Wall Lights  >  Sconce,6073,,,,,,,true,,true,,true,,,,,,,,true,,,,,,"<ul>
<li>Height: 17.75""</li>
<li>Width: 4.5""</li>
<li>Extension: 5.75""</li>
<li>Backplate: 4.5"" Round</li>
<li>Socket: 2 - E12 Candelabra</li>
<li>Wattage: 2 - 25 B</li>
<li>Note: UL only</li>
</ul>",,ARN 2009HAB/BLK,,,,,,1,699.0,,Clarkson Medium Narrow Sconce,false,ARN 2009HAB/BLK,,,,true,,,,,,,,,,false,,isPublic,,,,,,,,,,Sconce,,,,Antique Brass,Black,,,,,,,,true,,,Black,S8,,,,An elegant sconce that brings a classic look and a soft glow to larger hallways and rooms. Its design has a timeless appeal that works with most interiors.,,,,,,,,,1,false,false,false,false,,,,,,P0000000,,,,,,,,,,,,,,,
18122262,,,,,,756808038508,,,,ARN3042,,,,,,Lancelot,,,New,,,,,,,,,,"20.5""",,"6""",,,In 1 Week,,false,Table Lamp,Polished Nickel,F7,,,,,,Lighting  >  Table Lamps  >  Desk Lamp,4636,,,,,,,true,,true,,true,,,,,,,,true,,,,,,"<ul>
<li>Height: 20.5""</li>
<li>Width: 6""</li>
<li>Extension: 7.5""</li>
<li>Base: 6"" Round</li>
<li>Socket: E 17 In-Line Switch</li>
<li>Wattage: 4.5W LED R14</li>
<li>Note: UL only</li>
</ul>",,ARN 3042PN,,,,,,1,519.0,,Lancelot Pivoting Desk Lamp,false,ARN 3042PN,,,,true,,,,,,,,,,false,,isPublic,,,,,,,,,,Desk Lamp,,,,Polished Nickel,Polished Nickel,,,,,,,,true,,,NO SHADE,S1,,,,"Add style and retro appeal to a desk or table with this pivoting lamp. The sleek lines and cylindrical metallic shade show minimalist design at its best. An excellent task lamp, the movable shade allows you to concentrate light wherever it is required.",,,,,,,,,1,false,false,false,false,,,,,,P0000000,,,,,,,,,,,,,,,
19130145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,290.0,,"T Strap Suede Sandal, Gold",,,,,,true,,,,,,,,,,false,,,,,,,,,,,,,,,Sole,,,,,,,,,,true,,,,,,,,,,,,28,NO SIZE,,,,1,false,false,false,false,,,,,,PC040100,,,,,,,,,,,,44,,,
16222112,,,,,,,,,,,,,,,AERIN,Bonnington,,NO COLOR,,,16222111;24012628850;24012628880;2401413000005,,,,,,,,,,,,,,,false,Ceiling Light,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,"<ul>
<li>Height: 15.25""</li> 
<li>Width: 32""</li> 
<li>Canopy: 6"" Round</li> 
<li>Socket: Candelabra</li> 
<li>Wattage: 18 - 40 Watt Type C</li>
</ul>",,,,,,,,1,6109.0,,Bonnington Large Chandelier,,ARN 5125,,true,,true,,,ground,,,,,,,false,,isPublic,,,,,,,,,,Chandelier,,,NO COLOR,,,,,,,,,,true,,,,,,,,"A glamorous chandelier with a Mid-Century Modern appeal, the Bonnington is a stunning addition to a home, whether it is placed in a living or dining room. Two tiers of elongated crystals provide sparkle and style.",,,,28,NO SIZE,,,,1,false,false,false,false,,,,,,P0000000,,,,,,,,,,,,1,,,
18133510,,,,,,818909019852,,Adult,,,,,,,AERIN,,,Neutral,,,18133509;31002628550;31002628530;17210001,,,,,,,,,,,,,Available Now,,false,,,,,,,,Female,Fashion > Raffia Collection > Accessories > Keychain,175,,,,,,,,,,,,,,,,,,,,,,,,,"<ul>
 <li> Raffia</li>
 <li> Dimensions: 3.3"" x 5.5"" x 1.0"" (length includes keychain hardware)</li>
</ul>",,,Raffia/Woven,,,,,1,30.0,,Heart Raffia Keychain,,,,,,true,,,,,,Organize your keys or add a stylish touch to a bag by ordering a Heart Raffia Keychain from AERIN. The keychain features a raffia heart with a gold clasp.,,Heart Raffia Keychain with Gold Clasp - Neutral,,false,,isPublic,Exclusive,Raffia,,,,,,,,Keychain,,,NEUTRAL,,,,,,,,,,true,,//i1.adis.ws/i/aerin/18133510_2?h=200&w=200,,,,,,"Hand woven in raffia, this heart keychain with a gold clip is a fun way to personalize your keys, while also adding a stylish touch to a bag. It is a perfect keepsake to gift to a loved one.",,,,28,NO SIZE,,,,1,false,false,false,false,,,,,,P0000000,,,,,,,,,,,0,6,,,
19130107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,290.0,,"T Strap Suede Sandal, Sole, 37.5",,sole,,,,true,,,,,,,,,,false,,,,,,,,,,,,,,,Sole,,,,,,,,,,true,,,,,,,,,,,,55,37.5,,,,1,false,false,false,false,,,,,,PC040100,,,,,,,,,,,,44,,,
17222128,,,,,,756808033886,,,,ARN4010,,,,,,,,,New,,,,,,,,,,"10""",,"17.5""",,,In 1 Week,,false,Ceiling Light,Polished Nickel,F7,,,,,,Lighting  >  Ceiling Lights  >  Flush Mount,2524,,,,,,,true,,true,,true,,,,,,,,true,,,,,,"<ul>
<li>Height: 10""</li>
<li>Width: 17.5""</li>
<li>Socket: 4 - E12 Candelabra</li>
<li>Wattage: 4 - 60 B</li>
</ul>",,ARN 4010PN-WG,,,,,,1,1219.0,,Serein Large Flush Mount,false,ARN 4010PN-WG,,,,true,,,,,,,,,,false,,,,,,,,,,,,Flush Mount,,,,Polished Nickel,White Glass,,,,,,,,true,,,White Glass,S11,,,,The simple half globe of the Serein ceiling light is set in a circular mount for a classic look that works in both modern and traditional interiors. Its white glass illuminates with a beautiful warm glow.,,,,,,,,,1,false,false,false,false,,,,,,P0000000,,,,,,,,,,,0,,,,
17222129,,,,,,,,,,,,,,,AERIN,Bonnington,,NO COLOR,,,2401214000030;2401214000020;2401214000040;16222108,,,,,,,,,,,,,,,false,Ceiling Light,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,"<ul>
<li>Height: 8.25""</li> 
<li>Width: 14.25""</li> 
<li>Canopy: 6"" Round</li> 
<li>Wattage: 4 - 40B</li>
<li>Socket: 4-E12 Candelabra</li> 
</ul>",,,,,,,,1,1579.0,,Bonnington Small Flush Mount,,ARN 4124,,true,,true,,,ground,,,,,,,false,,isPublic,,,,,,,,,,Flush Mount,,,NO COLOR,,,,,,,,,,true,,,,,,,,This glamorous flush mount created from elongated crystals was influenced by Mid-Century Modern design. The Bonnington brings sparkle and style to any room.,,,,28,NO SIZE,,,,1,false,false,false,false,,,,,,P0000000,,,,,,,,,,,,1,,,
18222137,,,,,,756808042918,,,,ARN2450,,,,,,,,,New,,,,,,,,,,"12""",,"12""",,,In 1 Week,,false,Wall Light,Matte White,F11,,,,,,Lighting  >  Wall Lights,6073,,,,,,,true,,true,,true,,,,,,,,true,,,,,,"<ul>
<li>Height: 12""</li>
<li>Width: 12""</li>
<li>Extension: 3.75""</li>
<li>Backplate: 12"" Round</li>
<li>Socket: Dedicated LED</li>
<li>Wattage: 11w (1000lm)</li>
</ul>",,ARN 2450WHT,,,,,,1,579.0,,Gabriela Round Wall Washer,false,ARN 2450WHT,,,,true,,,,,,,,,,false,,isPublic,,,,,,,,,,Wall Light,,,,Matte White,,,,,,,,,true,,,NO SHADE,S1,,,,"This circular wall light is a stylish addition to a room. Despite its minimal design, it has been constructed to cast light around its edge, which adds interest and character. The selection of finishes make this a versatile piece, allowing the wall light to stand out or blend in with its surroundings.",,,,,,,,,1,false,false,false,false,,,,,,P0000000,,,,,,,,,,,,,,,
